Bus Names,Bus Latitudes,Bus Longitudes,StationName,Station_Latitude,Station_Longitude
"Noor Islaic Bank Bus Station, RTA bus F15, Onpassive Metro Station, Ibn Battuta Metro Station","25.15552, 25.153288, 25.15552, 25.155613","55.228526, 55.228335, 55.228526, 55.228569",Noor Bank Metro Station,25.15552,55.228526
Equity Metro Stop South 1,25.12587953,55.20697822,FGB Metro Station,25.126626,55.207849
Sharaf DG Metro Bus Station 2-1,25.25753964,55.29656377,Sharaf DG Metro Station,25.258248,55.297215
"DIC MS Seaside Bus Station, Dubai Internet City MS Seaside, Al Bashra Heights - Saleh Bin Lahej, Dubai Internet City Metro Station","25.103147, 25.099779, 25.09996, 25.102007","55.171465, 55.173042, 55.1769, 55.173651",Dubai Internet City Metro Station,25.102007,55.173651
"Dubai Internet City, Building 5",25.092487,55.160545,Nakheel Metro Station,25.088779,55.157992
Sobha Realty Metro Station,25.079911,55.147406,DAMAC Properties Metro Station,25.079911,55.147406
"Dubai XMB Etihad bus teral, Caffe Nero","25.073757, 25.069029","55.141474, 55.141087",Jueirah Lakes Towers Metro Station,25.071063,55.138856
Jebel Ali Metro Bus Station South,25.05745368,55.12744971,Nakheel Harbour & Tower Metro Station,25.057963,55.127202
"Dubai XMB Etihad bus teral, Caffe Nero","25.073757, 25.069029","55.141474, 55.141087",Energy Metro Station,25.071063,55.138856
"Dubai XMB Etihad bus teral, Caffe Neros","25.073757, 25.069029","55.141474, 55.141087",Danube Metro Station,25.071063,55.138856
"Dubai Internet City, Building 5",25.092487,55.160545,UAE Exchange Metro Station,25.088779,55.157992
"Etisalat Metro Station A8, Etisalat Bus Station 6, Etisalat Bus Station 4, Etisalat Bus Station 2","25.255704, 25.255934, 25.255996, 25.256129","55.402222, 55.401849, 55.401690, 55.4015590",Etisalat Metro Station,25.254689,55.400951
Al Qusais Metro Bus Station 2,25.26332478,55.38629533,Al Qusais Metro Station,25.262679,55.387485
Dubai Airport Free Zone Metro Bus Station 2,25.26960959,55.37543712,Dubai Airport Free Zone Metro Station,25.269841,55.375127
Ministry of Inforation Bus Stop,25.275275,55.366569,Al Nahda Metro Station,25.273348,55.369202
"Dubai XMB Etihad bus teral, Caffe Nero","25.073757, 25.069029","55.141474, 55.141087",Stadiu Metro Station,25.071063,55.138856
Hor Al Anz RTA Bus Station,25.275339,55.348337,Al Qiyadah Metro Station,25.27797,55.351709
Abu Hail Metro Bus Station B,25.2751202,55.3460798,Abu Hail Metro Station,25.239974,55.35041
The Center 2 Bus Stop,25.273301,55.329706,Abu Baker Al Siddique Metro Station,25.270468,55.332685
Salah Al Din Metro Bus Stop 1,25.270214,55.319707,Salah Al Din Metro Station,25.270097,55.320969
Union Metro Bus Station 1-2,25.26661419,55.31537455,Union (Green Line) Metro Station,25.057963,55.127202
Baniyas Metro Station,25.26924197,55.30708746,Baniyas Square Metro Station,25.269653,55.308185
School Bus Stop JBR,25.081268,55.137876,Pal Deira Metro Station,25.083857,55.136322
"Gold Souk Bus Station, Nakhal Bus Stop 12","25.270072, 25.267516","55.297951, 55.292585",Al Ras Metro Station,25.268588,55.293773
Al Habtoor Bus Stop,25.114661,55.192301,Al Fahidi Metro Station,25.114683,55.190859
"Big Bus Dubai, Burjuan bus stop, Burjuan Centre","25.254791, 25.256076, 25.254042","55.304274, 55.302838, 55.302967",BurJuan Metro Station,25.25495,55.304846
Al Jaddaf Metro Bus Station A2,25.22254233,55.33509909,Al Jadaf Metro Station,25.225067,55.333701
Creek Metro Bus Stop C04,25.218868,55.338844,Creek Metro Station,25.219085,55.33893
Rashidiya Bus Station,25.229408,55.391202,Rashidiya Metro Station,25.230306,55.39116
"Bus Bay 21 for Turn Arounds, Bus Bay 10, Bus Bay 9, Bus Bay 1, EGHQ Bus Bay No.4","25.241738, 25.241924, 25.241151, 25.241499, 25.241414","55.366378, 55.366464, 55.367025, 55.366842, 55.366917",Eirates Metro Station,25.240962,55.365556
"T1 Bus Stand, Bus Bay 7, Teral 1","25.24929, 25.250523, 25.249243","55.350947, 55.35409, 55.353032",Airport Teral 3 Metro Station,25.248539,55.352285
"T1 Bus Stand, Bus Bay 7, Teral 1","25.24929, 25.250523, 25.249243","55.350947, 55.35409, 55.353032",Airport Teral 1 Metro Station,25.248539,55.352285
Garhoud Crew Bus,25.246009,55.341023,GGICO Metro Station,25.249502,55.340271
"Ritz-Carlton Hotel 1 Bus Stop, Dubai Marina Mall Bus Station, Dubai Marina Mall, Sobha Realty Metro Station","25.081284, 25.07587, 25.076294, 25.079911","55.140747, 55.140845, 55.140468, 55.147406",Deira City Centre Metro Station,25.079443,55.143181
"Al Maktou Rd. Bus Station, Clock Tower Bus Station, Qatar airways bus station","25.259921, 25.259972, 25.260271","55.321072, 55.320942, 55.320468",Al Rigga Metro Station,25.263333,55.323999
"RTA Bus 44, ADCB Metro Station","25.244051, 25.244564","55.299555, 55.29826",ADCB Metro Station,25.244564,55.29826
"Al Jafiliya Ms Seaside, Al Jafiliya Bus Station, Max Metro Station","25.233893, 25.232476, 25.233307","55.291429, 55.292227, 55.292076",Al Jafiliya Metro Station,25.233578,55.292087
Dubai World Trade Centre,25.224415,55.287566,World Trade Centre Metro Station,25.224806,55.284913
Museum of the Future Bus Station,25.21836015,55.28101583,Eirates Towers Metro Station,25.217315,55.27979
"Etihad bus stop, Crew Bus: Pink Bldg to HQ","25.211945, 25.209881","55.273622, 55.273277",Financial Centre Metro Station,25.210973,55.27566
"Burj Khalifa / Dubai Mall Metro Station, Ascent Advertising","25.201473, 25.202475","55.269645, 55.273365",Burj Khalifa/ Dubai Mall Metro Station,25.201473,55.269645
"Business Bay Metro Bus Stop, Bus Stop","25.191275, 25.191275","55.260399, 55.260399",Business Bay Metro Station,25.191182,55.260356
"Mall of the Eirates Bus Station, Bus Teral, Big Bus Tours, Mall of the Eirates","25.120062, 25.119737, 25.118082, 25.118783","55.199461, 55.198202, 55.202521, 55.200475",Mall of the Eirates Metro Station,25.121276,55.200558
"Noor Islaic Bank Bus Station, RTA bus F15, Onpassive Metro Station","25.15552, 25.153288, 25.15552, 25.155613","55.228526, 55.228335, 55.228526, 55.228569",Ibn Battuta Metro Station,25.155613,55.228569
"Dubai Bus Teral, Al Ghubaiba Bus Station, Nakhal Bus Stop 12, Al Ghubaiba Metro Station","25.263117, 25.262954, 25.267516, 25.265217","55.288397, 55.289088, 55.292585, 55.288796",Al Ghubaiba Metro Station,25.265217,55.288796
Dubai Healthcare City Metro Bus Station 1,25.23083076,55.3230326,Dubai Healthcare City Metro Station,25.23037,55.322827
Al Rashidiya Bus Station 1 Parking,25.22912857,55.39225255,Rashidiya Depot,25.224166,55.377485
Al Mawakeb School Bus Stop,25.106338,55.201675,Union Metro Station,25.104736,55.203227
